iter	Passed	Remaining
356	609304	244063
357	610953	242333
358	612594	240601
359	614245	238873
360	616008	237188
361	617655	235459
362	619303	233731
363	621065	232046
364	622726	230323
365	624402	228606
366	626110	226901
367	627871	225214
368	629531	223492
369	631182	221766
370	632975	220091
371	634672	218381
372	636420	216690
373	638212	215012
374	639916	213305
375	641559	211578
376	643294	209881
377	644954	208159
378	646643	206448
379	648403	204758
380	650046	203032
381	651710	201313
382	653495	199631
383	655164	197914
384	656825	196194
385	658545	194492
386	660211	192775
387	661874	191056
388	663627	189364
389	665290	187645
390	666940	185924
391	668725	184240
392	670372	182518
393	672014	180795
394	673726	179091
395	675396	177376
396	677084	175666
397	678871	173982
398	680593	172280
399	682291	170572
400	683940	168853
401	685719	167165
402	687370	165446
403	689023	163728
404	690748	162027
405	692372	160303
406	694013	158583
407	695757	156886
408	697415	155170
409	699068	153453
410	700737	151741
411	702464	150041
412	704102	148321
413	705863	146628
414	707544	144918
415	709213	143206
416	710955	141509
417	712585	139789
418	714255	138078
419	715972	136375
420	717694	134674
421	719396	132968
422	721169	131276
423	722869	129570
424	724584	127867
425	726302	126165
426	727976	124454
427	729646	122744
428	731366	121041
429	733046	119333
430	734710	117621
431	736490	115929
432	738156	114218
433	739846	112511
434	741591	110812
435	743229	109097
436	744892	107387
437	746554	105676
438	748292	103976
439	749960	102267
440	750027	100343
441	751653	98633
442	753408	96939
443	755069	95233
444	756710	93526
445	758446	91829
446	760135	90127
447	761763	88418
448	763552	86728
449	765267	85029
450	766943	83326
451	768714	81633
452	770414	79932
453	772060	78226
454	773711	76520
455	775457	74824
456	777080	73117
457	778850	71423
458	780499	69717
459	782156	68013
460	783872	66314
461	785544	64611
462	787195	62907
463	788931	61210
464	790587	59506
465	792251	57803
466	793974	56105
467	795627	54401
468	797266	52697
469	798925	50995
470	800651	49296
471	802315	47594
472	803992	45893
473	805741	44196
474	807405	42495
475	809093	40794
476	810855	39097
477	812523	37396
478	814231	35697
479	815992	33999
480	817709	32300
481	819450	30601
482	821188	28903
483	822842	27201
484	824506	25500
485	826249	23801
486	827917	22100
487	829580	20399
488	831331	18700
489	832998	16999
490	834653	15299
491	836398	13599
492	838060	11899
493	839743	10199
494	841470	8499
495	843138	6799
496	844809	5099
497	846551	3399
498	848198	1699
499	849878	0
