iter	RMSE
0	51672.21045
1	39201.06044
2	30092.03553
3	23937.87848
4	19011.55344
5	15889.35156
6	13348.05699
7	11997.83391
8	10532.68769
9	9488.345539
10	9273.724336
11	8468.598041
12	8285.20814
13	7712.280702
14	7262.020417
15	7089.282611
16	6576.320134
17	6446.804775
18	6187.79779
19	6070.125804
20	6005.261491
21	5571.077749
22	5501.749859
23	5247.766908
24	5048.999571
25	4793.596244
26	4702.020341
27	4495.004591
28	4422.456324
29	4223.180648
30	4191.318399
31	4152.091143
32	3905.882701
33	3657.938881
34	3628.701467
35	3604.442221
36	3367.949349
37	3340.718856
38	3324.124529
39	3285.104717
40	3134.144434
41	2962.877812
42	2935.414872
43	2921.745496
44	2831.560826
45	2799.643797
46	2786.934562
47	2668.692144
48	2660.488295
49	2650.645095
50	2524.288541
51	2425.723005
52	2418.746812
53	2413.375251
54	2336.760884
55	2254.941477
56	2201.253289
57	2134.49882
58	2125.13186
59	2062.749118
60	2048.616919
61	1994.049819
62	1940.516463
63	1890.636735
64	1879.261585
65	1835.974139
66	1830.604821
67	1826.359792
68	1781.347954
69	1771.837733
70	1738.353989
71	1684.953701
72	1681.40755
73	1678.693678
74	1676.126319
75	1654.345916
76	1612.488443
77	1592.619391
78	1563.723569
79	1535.161605
80	1532.651592
81	1493.289559
82	1491.16827
83	1489.421222
84	1464.753129
85	1430.50574
86	1401.23794
87	1395.338269
88	1375.71614
89	1355.761244
90	1353.712771
91	1324.828834
92	1302.018552
93	1293.230833
94	1280.823867
95	1257.46404
96	1229.641174
97	1217.535133
98	1198.792792
99	1191.482613
100	1190.103211
101	1177.795673
102	1159.141158
103	1157.444667
104	1138.601402
105	1134.742395
106	1116.827355
107	1091.386414
108	1084.687879
109	1083.641176
110	1057.228632
111	1048.092676
112	1046.882757
113	1028.690848
114	1027.822773
115	1019.824711
116	1012.918198
117	1000.18311
118	982.4512315
119	969.5175411
120	967.9076475
121	954.4040985
122	953.6529692
123	945.874181
124	937.4793849
125	922.3028211
126	912.1973098
127	903.1919826
128	887.0104835
129	883.6351331
130	873.4812617
131	872.8039633
132	872.2094274
133	870.2078266
134	861.5319406
135	852.9932681
136	843.0773548
137	833.0342617
138	825.8816203
139	819.5580375
140	808.2301907
141	807.1317786
142	794.8896563
143	788.7720969
144	785.9606078
145	779.3055636
146	777.4482432
147	769.7800123
148	761.5300584
149	758.2614705
150	757.8308378
151	752.1472847
152	750.5304947
153	744.1490475
154	735.247093
155	732.4283821
156	728.4894311
157	720.2676009
158	719.8710164
159	719.1657357
160	710.701073
161	702.5688791
162	697.664526
163	694.7800655
164	688.7346705
165	683.4724726
166	676.6531456
167	676.3233946
168	670.1541086
169	662.8217758
170	658.4858356
171	654.1965552
172	648.6771714
173	643.1181947
174	637.6054007
175	633.8908436
176	628.772704
177	623.8353347
178	623.5334775
179	623.2620521
180	620.5650462
181	618.6351695
182	618.4168988
183	618.0769146
184	615.066254
185	610.7846592
186	605.1722213
187	600.0806302
188	598.9437756
189	598.5263666
190	591.8386957
191	591.0798873
192	590.9073038
193	590.760861
194	588.0021951
195	587.483532
196	582.8301627
197	582.6752219
198	579.1809282
199	579.0520689
200	574.2342336
201	569.5700543
202	567.2812031
203	564.629596
204	560.9808602
205	557.5706221
206	557.4264366
207	555.1542682
208	550.4695515
209	547.2633045
210	545.3285061
211	542.0769311
212	537.2282549
213	535.7825321
214	531.2967785
215	528.3867982
216	528.2605436
217	526.1470706
218	524.0451889
219	520.6792611
220	518.1003033
221	515.8915795
222	511.3664406
223	509.1203125
224	507.0220583
225	504.5805158
226	500.3277811
227	496.8131716
228	496.6672018
229	496.5614461
230	494.2986868
231	491.5703066
232	489.3130752
233	488.0834282
234	487.9782333
235	484.6790162
236	482.2111653
237	479.8004774
238	476.5488162
239	476.4266735
240	473.3944034
241	472.6912482
242	472.5915667
243	472.5103124
244	469.2971484
245	466.7131945
246	463.3256547
247	463.2438539
248	463.0567308
249	461.9074845
250	459.0936004
251	455.3438373
