iter	RMSE
252	452.4723244
253	449.8249316
254	449.512334
255	445.2914651
256	442.9142356
257	441.2588465
258	438.7032168
259	436.5720262
260	434.7428647
261	432.8814595
262	432.5781191
263	432.5062514
264	432.051172
265	430.8416221
266	430.7664759
267	428.1355908
268	425.1384648
269	422.9971597
270	421.4741998
271	419.9087208
272	419.8483237
273	419.7896426
274	418.3552998
275	416.3529695
276	414.8997011
277	413.5421348
278	411.0929489
279	409.5778662
280	408.7422561
281	407.480386
282	405.9873816
283	405.9238733
284	403.7142232
285	403.6515255
286	402.7030867
287	402.360924
288	401.6262802
289	401.5835784
290	399.9862541
291	399.5347614
292	398.4010567
293	396.4757493
294	394.5395605
295	394.0934783
296	391.1103277
297	389.880755
298	388.8935014
299	385.5794995
300	385.5385249
301	385.5052945
302	385.2633663
303	383.4830322
304	381.4559349
305	379.4922643
306	378.9350255
307	378.5458949
308	378.4843983
309	378.4524574
310	377.1421353
311	377.1089412
312	375.3336662
313	375.305739
314	374.585359
315	372.9234971
316	371.6864331
317	371.6313786
318	371.5577996
319	369.0978344
320	367.5145897
321	366.0887775
322	365.5254693
323	364.1327338
324	362.8980245
325	361.9738243
326	361.639052
327	360.9739811
328	360.1831762
329	359.3858845
330	359.3519924
331	358.4593697
332	358.4271172
333	358.3969606
334	357.5444032
335	356.2615664
336	355.4859827
337	354.2963243
338	352.8048044
339	351.9027198
340	351.5626127
341	349.994096
342	349.7490729
343	349.7198356
344	348.957963
345	348.9321833
346	347.3517754
347	346.3144977
348	345.5344264
349	344.0896236
350	343.1193897
351	341.5589632
352	341.5314128
353	340.7066046
354	339.5873092
355	338.3714027
356	338.3090129
357	337.015317
358	336.3397916
359	335.3944288
360	335.3104604
361	335.00882
362	334.9893364
363	334.1114628
364	334.0955633
365	333.7621615
366	333.182194
367	332.3746445
368	331.8637773
369	331.2873667
370	331.157927
371	330.0612278
372	328.9663273
373	328.4321131
374	327.4023027
375	326.9333233
376	326.2979713
377	325.8967402
378	324.822726
379	324.1106993
380	323.4854429
381	322.310936
382	322.2051202
383	321.4930253
384	320.6986035
385	320.1402144
386	319.0936467
387	319.0704174
388	318.4835916
389	318.4651847
390	317.8052854
391	317.1782461
392	316.4698731
393	315.5898951
394	315.1089373
395	314.2554793
396	313.8998814
397	313.5223271
398	313.5040504
399	313.0569274
400	312.6809265
401	312.3139955
402	311.6302642
403	311.6160955
404	310.7381043
405	310.7231711
406	310.3649553
407	309.5617026
408	309.5501801
409	308.7772551
410	308.5734045
411	308.0588207
412	307.7539607
413	307.6918858
414	307.2169372
415	306.8714925
416	306.6740497
417	305.8763873
418	305.8686336
419	305.2808381
420	304.4054941
421	303.498009
422	303.3672865
423	303.1052406
424	302.596586
425	302.5858038
426	301.802618
427	301.7939101
428	301.5927902
429	301.5843732
430	300.9356705
431	300.5927824
432	300.4787738
433	299.6347391
434	299.6232331
435	299.615115
436	299.5642978
437	298.8945989
438	298.5958221
439	298.0806212
440	297.834463
441	297.3075885
442	296.895698
443	296.4455853
444	295.5814753
445	295.5724838
446	295.125701
447	294.6787764
448	294.6686634
449	294.080762
450	293.9188455
451	293.5239631
452	293.0886054
453	292.6934501
454	292.1503493
455	291.8642258
456	291.160022
457	290.9217887
458	290.9144284
459	290.3037807
460	290.2971434
461	289.9444008
462	289.385875
463	288.6950071
464	288.6869793
465	288.4798675
466	287.9982565
467	287.5574499
468	287.0282989
469	286.7583835
470	286.3805711
471	286.3048655
472	286.2193531
473	285.7354289
474	285.2342289
475	284.6599793
476	284.6491727
477	284.6365859
478	284.1438912
479	283.8755624
480	283.4732484
481	283.0927115
482	282.6375078
483	282.108828
484	281.7109846
485	281.4729467
486	281.0590081
487	280.7000367
488	280.4441255
489	280.1054127
490	279.7917549
491	279.5093429
492	279.463873
493	279.2704287
494	278.9609301
495	278.85352
496	278.6690972
497	278.6109114
498	278.5985915
499	278.3708322
